termination_reason,termination_time_s,termination_time_h,final_SOC,final_voltage,total_capacity_Ah,total_energy_Wh,max_current,min_current,max_voltage,min_voltage,average_power,Power(W)
Maximum simulation time 36000s reached,36000.0,10.0,0.5427600016477446,3.820014466069788,1.3162969649396157,5.0,0.13777848072266147,0.12568087113546833,4.187715956443215,3.820014466069788,0.5,0.5
SOC reached minimum 0.05,35926.5,9.979583333333334,0.04999496110812154,3.45595534158715,2.7348629907386863,9.979583333333334,0.30458483252967805,0.2517406405466172,4.1814129679726575,3.45595534158715,1.0,1.0
SOC reached minimum 0.05,23865.0,6.629166666666666,0.04999792409274933,3.4406204550676613,2.734854460922317,9.94375,0.45891355615683627,0.37818275590468287,4.175090862204755,3.4406204550676613,1.5,1.5
SOC reached minimum 0.05,17834.0,4.953888888888889,0.049998468118667774,3.4251672874438954,2.7348528947714543,9.907777777777778,0.6146453534144999,0.5050107174853352,4.168749464125721,3.4251672874438954,2.0,2.0
SOC reached minimum 0.05,14215.5,3.94875,0.04997386708656182,3.4095138142188026,2.734923715906382,9.871875,0.7718340768686329,0.6322280792992729,4.162388596035025,3.4095138142188026,2.5,2.5
SOC reached minimum 0.05,11802.5,3.2784722222222222,0.04999075579701266,3.393878636214353,2.7348750968715967,9.835416666666667,0.9304677848953751,0.759838450254257,4.156008077487275,3.393878636214353,3.0,3.0
SOC reached minimum 0.05,10079.0,2.799722222222222,0.0499817048420379,3.3780299206671507,2.7349011526308775,9.799027777777777,1.0906388080743137,0.8878454953496502,4.1496077252325065,3.3780299206671507,3.5,3.5
SOC reached minimum 0.05,8786.0,2.4405555555555556,0.04999885244666163,3.3621390656380474,2.73485178829462,9.762222222222222,1.2523355618517298,1.016252936904589,4.143187353154759,3.3621390656380474,4.0,4.0
SOC reached minimum 0.05,7780.5,2.16125,0.04997390693796775,3.3459689096623837,2.734923601105233,9.725625,1.4156862281607743,1.145064555820945,4.136746772208941,3.3459689096623837,4.5,4.5
SOC reached minimum 0.05,6976.0,1.9377777777777778,0.04994400743215562,3.32964014661264,2.7350096754263227,9.688888888888888,1.580698713070011,1.274284192882294,4.130285790355874,3.32964014661264,5.0,5.0
SOC reached minimum 0.05,6317.5,1.7548611111111112,0.049939348612285536,3.313251722665357,2.735023087170907,9.651736111111111,1.7473691010573635,1.4039157500901533,4.123804212495481,3.313251722665357,5.5,5.5
SOC reached minimum 0.05,5768.5,1.6023611111111111,0.04995991294404482,3.296799665530243,2.7349638868178228,9.614166666666666,1.915733473197986,1.5339631920387986,4.117301840398048,3.296799665530243,6.0,6.0
