SOC_initial,Power,TTE_Analytic,TTE_Numeric_RK4,TTE_Numeric_Scipy,TTE_Fast,Analytic_Error
0.1,0.5,1.0637794643300165,22.2,22.198200274995102,1.2839750085937498,1.9683874240376663e-15
0.1,1.0,0.5303889870098886,11.063888888888888,11.061513554482765,0.6419875042968749,1.9628335512866378e-15
0.1,2.0,0.2632482694715842,5.4944444444444445,5.492853723239947,0.32099375214843745,1.9484285997338697e-15
0.1,3.0,0.17380538240038004,3.638888888888889,3.6363397443230694,0.21399583476562495,1.9296273734468187e-15
0.1,4.0,0.128786952945951,2.7083333333333335,2.707855536917401,0.16049687607421873,1.906429872425486e-15
0.2,0.5,3.262218726204205,22.2,22.198200274995102,3.7866381609375,6.03631723532543e-15
0.2,1.0,1.6267312727332892,11.063888888888888,11.061513554482765,1.89331908046875,6.020115046220943e-15
0.2,2.0,0.8077074565072491,5.4944444444444445,5.492853723239947,0.946659540234375,5.978236102505135e-15
0.2,3.0,0.5335616604402736,3.638888888888889,3.6363397443230694,0.63110636015625,5.923724404780213e-15
0.2,4.0,0.3956353694130643,2.7083333333333335,2.707855536917401,0.4733297701171875,5.8565799530461795e-15
0.30000000000000004,0.5,5.502609408300359,22.2,22.198200274995102,6.202252160156249,1.0181872767690114e-14
0.30000000000000004,1.0,2.7441184327962214,11.063888888888888,11.061513554482765,3.1011260800781244,1.0155278221295552e-14
0.30000000000000004,2.0,1.3627892116613274,5.4944444444444445,5.492853723239947,1.5505630400390622,1.0086666403314477e-14
0.30000000000000004,3.0,0.9004939304982958,3.638888888888889,3.6363397443230694,1.0337086933593747,9.997490951744136e-15
0.30000000000000004,4.0,0.6679571343282297,2.7083333333333335,2.707855536917401,0.7752815200195311,9.887751866584521e-15
0.4,0.5,7.76471190784477,22.2,22.198200274995102,8.53081700625,1.4367603232783982e-14
0.4,1.0,3.8723959824098446,11.063888888888888,11.061513554482765,4.265408503125,1.4330743933791206e-14
0.4,2.0,1.9233659492272106,5.4944444444444445,5.492853723239947,2.1327042515625,1.423576774408046e-14
0.4,3.0,1.2711363199750698,3.638888888888889,3.6363397443230694,1.421802834375,1.4112448098736128e-14
0.4,4.0,0.9431067917055522,2.7083333333333335,2.707855536917401,1.06635212578125,1.3960784997758209e-14
0.5,0.5,10.042637692525757,22.2,22.198200274995102,10.77233269921875,1.858261265701758e-14
0.5,1.0,5.008609780874182,11.063888888888888,11.061513554482765,5.386166349609375,1.8535579666964256e-14
0.5,2.0,2.4879462883558414,5.4944444444444445,5.492853723239947,2.6930831748046873,1.8414501689089026e-14
0.5,3.0,1.6444810915674581,3.638888888888889,3.6363397443230694,1.7953887832031248,1.8257407714189022e-14
0.5,4.0,1.2203154687115645,2.7083333333333335,2.707855536917401,1.3465415874023436,1.806429774226425e-14
0.6,0.5,12.341127926183507,22.2,22.198200274995102,12.926799239062495,2.2835673955822398e-14
0.6,1.0,6.155137133556767,11.063888888888888,11.061513554482765,6.4633996195312475,2.2778583218000037e-14
0.6,2.0,3.0577285105619376,5.4944444444444445,5.492853723239947,3.2316998097656238,2.2631737303190996e-14
0.6,3.0,2.021336101402363,3.638888888888889,3.6363397443230694,2.154466539843749,2.244133880282954e-14
0.6,4.0,1.5001977457016014,2.7083333333333335,2.707855536917401,1.6158499048828119,4.4527357063885285e-14
0.7000000000000001,0.5,14.676798273842829,22.2,22.198200274995102,14.994216625781245,2.7157532285665104e-14
0.7000000000000001,1.0,7.3203094568310405,11.063888888888888,11.061513554482765,7.497108312890623,2.7090587021183648e-14
0.7000000000000001,2.0,3.636912106323698,5.4944444444444445,5.492853723239947,3.7485541564453113,8.763605296270536e-14
0.7000000000000001,3.0,2.4045325965977398,3.638888888888889,3.6363397443230694,2.4990361042968745,2.569079558283469e-13
0.7000000000000001,4.0,1.784907547067128,2.7083333333333335,2.707855536917401,1.8742770782226557,5.619857828136812e-13
0.8,0.5,17.067948719066905,22.2,22.198200274995102,16.974584859374996,3.158204941838255e-14
0.8,1.0,8.513300006404014,11.063888888888888,11.061513554482765,8.487292429687498,1.2956839690724326e-13
0.8,2.0,4.230116753508305,5.4944444444444445,5.492853723239947,4.243646214843749,7.207064710719297e-13
0.8,3.0,2.7971810944859445,3.638888888888889,3.6363397443230694,2.829097476562499,2.0980800868016575e-12
0.8,4.0,2.076807333931921,2.7083333333333335,2.707855536917401,2.1218231074218745,4.572515233099469e-12
0.9,0.5,19.51683032282443,22.2,22.198200274995102,18.867903939843742,1.732564446517172e-13
0.9,1.0,9.735233109246652,11.063888888888888,11.061513554482765,9.433951969921871,7.984584303545809e-13
0.9,2.0,4.837902462478753,5.4944444444444445,5.492853723239947,4.716975984960936,4.369091901968705e-12
0.9,3.0,3.199652655796999,3.638888888888889,3.6363397443230694,3.144650656640624,1.2623971961424572e-11
0.9,4.0,2.3761730591367822,2.7083333333333335,2.707855536917401,2.358487992480468,2.7395864105682586e-11
1.0,0.5,22.008537680335913,22.2,22.198200274995102,20.674173867187495,2.683648511862997e-13
1.0,1.0,10.97863343753977,11.063888888888888,11.061513554482765,10.337086933593747,1.256872915496391e-12
1.0,2.0,5.456499027988984,5.4944444444444445,5.492853723239947,5.168543466796874,6.979503326201311e-12
1.0,3.0,3.6094033020029728,3.638888888888889,3.6363397443230694,3.4456956445312485,2.030832458636777e-11
1.0,4.0,2.681067246908157,2.7083333333333335,2.707855536917401,2.584271733398437,4.425763487858009e-11
